ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
SNG2,SYNGR2,0.9271726499455306,0.3538369006847291,0.2073221072156823,0.5307553510270938,0.8572287510073358,-0.1051008542492317
KAISO,ZBTB33,0.9271726499455306,0.3538369006847291,0.2073221072156823,0.5307553510270938,0.3349492412863997,-0.4658883009241659
PSB4,PSMB4,0.9271726499455306,0.3538369006847291,0.2073221072156823,0.5307553510270938,1.1470511053193748,0.1902524921800581
H0YEH1,PICALM,0.9271726499455306,0.3538369006847291,0.2073221072156823,0.5307553510270938,0.1849015439701801,-0.5404391271742014
PSB10,PSMB10,0.9451890567189066,0.3445623653256979,0.2113506982412379,0.5227503313941303,0.3066595577755802,-0.680371829430471
RASEF,RASEF,0.9622504486493764,0.3359238131517357,0.2151657414559676,0.5111047128469102,0.5957586150374996,-2.0564362655599653
SVIP,SVIP,0.9622504486493764,0.3359238131517357,0.2151657414559676,0.5111047128469102,-0.193926737869291,-0.9937399026857217
SBNO2,SBNO2,0.9622504486493764,0.3359238131517357,0.2151657414559676,0.5111047128469102,1.0968122699060725,-0.368029848659377
DGKE,DGKE,0.9622504486493764,0.3359238131517357,0.2151657414559676,0.5111047128469102,0.1222835244157462,-0.3774512149235479
PDE8A,PDE8A,0.9622504486493764,0.3359238131517357,0.2151657414559676,0.5111047128469102,0.3451171132824157,-0.5575637886165055
RELB,RELB,0.9797958971132712,0.3271868777903056,0.2190890230020664,0.5050471863565473,0.037403284792462,-0.3575318968433059
HBA,HBA1,0.9827076298239908,0.3257513544787166,0.2197401062294143,0.5042972863795876,-0.0111307075303163,-0.2985178451185811
NU160,NUP160,0.9827076298239908,0.3257513544787166,0.2197401062294143,0.5042972863795876,-1.1449220338695405,-1.1951667546002605
F8WA39,MTMR1,1.0154748070832005,0.3098795496397729,0.227067069807652,0.4825397092631068,0.6695828673464858,0.039261151966561
BRM1L,BRMS1L,1.0154748070832005,0.3098795496397729,0.227067069807652,0.4825397092631068,-0.0968593047692492,-0.8177315713048676
TRI11,TRIM11,1.0154748070832005,0.3098795496397729,0.227067069807652,0.4825397092631068,0.6019627131298838,0.2519582433199174
CB069,C2orf69,1.0154748070832005,0.3098795496397729,0.227067069807652,0.4825397092631068,0.4648158910616475,-0.2929421429961228
NCK1,NCK1,1.0583005244258363,0.2899184539425697,0.2366431913239846,0.4665051486166804,0.3332089865963182,-0.1667748153096999
UQCC3,UQCC3,1.0583005244258363,0.2899184539425697,0.2366431913239846,0.4665051486166804,-0.7401630134992492,-1.5490924441528588
WIPF2,WIPF2,1.0583005244258363,0.2899184539425697,0.2366431913239846,0.4665051486166804,0.8113024652333015,-0.8886692610421681
A0A087X1P3,CADPS2,1.058475493514314,0.2898387176075082,0.2366823156015643,0.4665051486166804,0.1014404420080127,-1.66296010420618
